UNIX time;Local time;genericSensor1
1618141049;2021-04-11T14:37:29.000;-0.742
1618141050;2021-04-11T14:37:30.000;-0.742
1618141057;2021-04-11T14:37:37.000;-0.742
1618141058;2021-04-11T14:37:38.000;-0.742
1618141059;2021-04-11T14:37:39.000;-0.742
1618141060;2021-04-11T14:37:40.000;-0.742
1618141061;2021-04-11T14:37:41.000;-0.742
1618141062;2021-04-11T14:37:42.000;-0.742
1618141063;2021-04-11T14:37:43.000;-0.742
1618141064;2021-04-11T14:37:44.000;-0.742
1618141065;2021-04-11T14:37:45.000;-0.742
1618141066;2021-04-11T14:37:46.000;-0.742
1618141067;2021-04-11T14:37:47.000;-0.742
1618141068;2021-04-11T14:37:48.000;-0.742
1618141069;2021-04-11T14:37:49.000;-0.742
1618141070;2021-04-11T14:37:50.000;-0.742
1618141071;2021-04-11T14:37:51.000;-0.664
1618141072;2021-04-11T14:37:52.000;-0.742
1618141073;2021-04-11T14:37:53.000;-0.742
1618141074;2021-04-11T14:37:54.000;-0.742
1618141075;2021-04-11T14:37:55.000;-0.742
1618141076;2021-04-11T14:37:56.000;-0.742
1618141077;2021-04-11T14:37:57.000;-0.742
1618141078;2021-04-11T14:37:58.000;-0.742
1618141079;2021-04-11T14:37:59.000;-0.742
1618141080;2021-04-11T14:38:00.000;-0.742
1618141081;2021-04-11T14:38:01.000;-0.742
1618141082;2021-04-11T14:38:02.000;-0.742
1618141083;2021-04-11T14:38:03.000;-0.742
1618141084;2021-04-11T14:38:04.000;-0.742
1618141085;2021-04-11T14:38:05.000;-0.742
1618141086;2021-04-11T14:38:06.000;-0.742
1618141087;2021-04-11T14:38:07.000;-0.742
1618141088;2021-04-11T14:38:08.000;-0.664
1618141089;2021-04-11T14:38:09.000;-0.742
1618141090;2021-04-11T14:38:10.000;-0.742
1618141091;2021-04-11T14:38:11.000;-0.742
1618141092;2021-04-11T14:38:12.000;-0.742
1618141093;2021-04-11T14:38:13.000;-0.742
1618141094;2021-04-11T14:38:14.000;-0.742
1618141095;2021-04-11T14:38:15.000;-0.742
1618141096;2021-04-11T14:38:16.000;-0.742
1618141097;2021-04-11T14:38:17.000;-0.742
1618141098;2021-04-11T14:38:18.000;-0.742
1618141099;2021-04-11T14:38:19.000;-0.742
1618141100;2021-04-11T14:38:20.000;-0.742
1618141101;2021-04-11T14:38:21.000;-0.742
1618141102;2021-04-11T14:38:22.000;-0.742
1618141103;2021-04-11T14:38:23.000;-0.742
1618141104;2021-04-11T14:38:24.000;-0.742
1618141105;2021-04-11T14:38:25.000;-0.742
1618141106;2021-04-11T14:38:26.000;-0.742
1618141107;2021-04-11T14:38:27.000;-0.742
1618141108;2021-04-11T14:38:28.000;-0.742
1618141109;2021-04-11T14:38:29.000;-0.742
1618141110;2021-04-11T14:38:30.000;-0.742
1618141111;2021-04-11T14:38:31.000;-0.742
1618141112;2021-04-11T14:38:32.000;-0.742
1618141113;2021-04-11T14:38:33.000;-0.742
1618141114;2021-04-11T14:38:34.000;-0.742
1618141115;2021-04-11T14:38:35.000;-0.742
1618141116;2021-04-11T14:38:36.000;-0.742
1618141117;2021-04-11T14:38:37.000;-0.742
1618141118;2021-04-11T14:38:38.000;-0.82
1618141119;2021-04-11T14:38:39.000;-0.742
1618141120;2021-04-11T14:38:40.000;-0.742
1618141121;2021-04-11T14:38:41.000;-0.742
1618141122;2021-04-11T14:38:42.000;-0.742
1618141123;2021-04-11T14:38:43.000;-0.742
1618141124;2021-04-11T14:38:44.000;-0.742
1618141125;2021-04-11T14:38:45.000;-0.742
1618141126;2021-04-11T14:38:46.000;-0.742
1618141127;2021-04-11T14:38:47.000;-0.742
1618141128;2021-04-11T14:38:48.000;-0.664
1618141129;2021-04-11T14:38:49.000;-0.742
1618141130;2021-04-11T14:38:50.000;-0.742
1618141131;2021-04-11T14:38:51.000;-0.742
1618141132;2021-04-11T14:38:52.000;-0.742
1618141133;2021-04-11T14:38:53.000;-0.742
1618141134;2021-04-11T14:38:54.000;-0.742
1618141135;2021-04-11T14:38:55.000;-0.742
1618141136;2021-04-11T14:38:56.000;-0.742
1618141137;2021-04-11T14:38:57.000;-0.742
1618141138;2021-04-11T14:38:58.000;-0.742
1618141139;2021-04-11T14:38:59.000;-0.742
1618141140;2021-04-11T14:39:00.000;-0.742
1618141141;2021-04-11T14:39:01.000;-0.742
1618141142;2021-04-11T14:39:02.000;-0.742
1618141143;2021-04-11T14:39:03.000;-0.742
1618141144;2021-04-11T14:39:04.000;-0.742
1618141145;2021-04-11T14:39:05.000;-0.742
1618141146;2021-04-11T14:39:06.000;-0.742
1618141147;2021-04-11T14:39:07.000;-0.742
1618141148;2021-04-11T14:39:08.000;-0.742
1618141149;2021-04-11T14:39:09.000;-0.742
1618141150;2021-04-11T14:39:10.000;-0.742
1618141151;2021-04-11T14:39:11.000;-0.742
